actual,predicted,absolute_difference,predicted_category,actual_category,category_match,score_comparison,within_10_percent,within_20_percent
0.0226199999451637,0.0013250496704131,0.021294950274750597,low,low,yes,same,False,False
0.0002600000007078,0.0098352087661623,0.0095752087654545,low,low,yes,same,False,False
0.830269992351532,0.7941433191299438,0.036126673221588135,high,high,yes,same,True,True
0.001700000022538,0.0110562946647405,0.0093562946422025,low,low,yes,same,False,False
0.0004299999854993,0.0015817424282431,0.0011517424427438,low,low,yes,same,False,False
0.0004299999854993,0.0003992715210188,3.0728464480499955e-05,low,low,yes,same,True,True
0.3505499958992004,0.0197518486529588,0.33079814724624157,low,medium,no,higher,False,False
0.001979999942705,0.29716956615448,0.295189566211775,medium,low,no,lower,False,False
0.0004299999854993,0.0030873150099068,0.0026573150244075,low,low,yes,same,False,False
0.0004299999854993,0.0019324088934808,0.0015024089079815,low,low,yes,same,False,False
0.0088499998673796,0.2755297124385834,0.26667971257120376,medium,low,no,lower,False,False
0.1370500028133392,0.3085770905017853,0.17152708768844607,medium,medium,yes,same,False,False
0.0432499982416629,0.0230665802955627,0.020183417946100204,low,low,yes,same,False,False
0.0113599998876452,0.020607590675354,0.009247590787708801,low,low,yes,same,False,False
0.0036299999337643,0.2755297124385834,0.2718997125048191,medium,low,no,lower,False,False
0.013600000180304,0.0186328552663326,0.0050328550860285984,low,low,yes,same,False,False
0.0004299999854993,0.0032093739137053,0.002779373928206,low,low,yes,same,False,False
0.000609999988228,0.2755297124385834,0.27491971245035535,medium,low,no,lower,False,False
0.0001500000071246,0.0051200962625443,0.0049700962554196995,low,low,yes,same,False,False
0.1973699927330017,0.1828328967094421,0.014537096023559598,medium,medium,yes,same,True,True
0.0053599998354911,0.0700522512197494,0.0646922513842583,low,low,yes,same,False,False
0.0004299999854993,0.0038565669674426,0.0034265669819433,low,low,yes,same,False,False
0.0036899999249726,0.0139418523758649,0.0102518524508923,low,low,yes,same,False,False
0.0035300001036375,0.0057586380280554,0.0022286379244178998,low,low,yes,same,False,False
0.1532499939203262,0.9092658758163452,0.756015881896019,high,medium,no,lower,False,False
0.0002099999983329,0.0069382935762405,0.0067282935779076,low,low,yes,same,False,False
0.0018799999961629,0.012336129322648,0.0104561293264851,low,low,yes,same,False,False
0.001300000003539,0.0038337216246873,0.0025337216211483004,low,low,yes,same,False,False
0.3454099893569946,0.3602191507816314,0.01480916142463684,medium,medium,yes,same,True,True
0.0004299999854993,0.0524421669542789,0.0520121669687796,low,low,yes,same,False,False
0.0002099999983329,0.0051918872632086,0.0049818872648757,low,low,yes,same,False,False
0.1720499992370605,0.7772228121757507,0.6051728129386902,high,medium,no,lower,False,False
0.0003100000030826,0.005978422705084,0.0056684227020014,low,low,yes,same,False,False
0.0263100005686283,0.0243533365428447,0.0019566640257836013,low,low,yes,same,True,True
0.0001800000027287,0.0021450549829751,0.0019650549802464,low,low,yes,same,False,False
0.0004299999854993,0.3129200935363769,0.3124900935508776,medium,low,no,lower,False,False
0.0014799999771639,0.0082094017416238,0.0067294017644599,low,low,yes,same,False,False
0.0002300000051036,0.0018363248091191,0.0016063248040155,low,low,yes,same,False,False
9.000000136438757e-05,0.0009649727144278,0.0008749727130634125,low,low,yes,same,False,False
0.0001999999949475,0.0004168231680523,0.00021682317310480002,low,low,yes,same,False,False
0.001189999980852,0.0078830923885107,0.0066930924076587005,low,low,yes,same,False,False
0.0004299999854993,0.002602714812383,0.0021727148268837,low,low,yes,same,False,False
0.0004299999854993,0.0035771958064287,0.0031471958209293997,low,low,yes,same,False,False
0.0003000000142492,0.0063594775274395,0.0060594775131903,low,low,yes,same,False,False
0.0004299999854993,0.0022164350375533,0.001786435052054,low,low,yes,same,False,False
0.0007500000065192,0.2755297124385834,0.27477971243206417,medium,low,no,lower,False,False
